T,X,Y,Z
54699,80,20,72
54711,16,-128,96
54713,4,4,-72
54715,4,-16,-28
54717,88,-12,-76
54719,4,-16,-56
54721,-84,28,-48
54733,-16,-8,-108
54735,108,-40,-276
54737,-48,136,-176
54739,-172,-328,1456
54741,376,156,-120
54743,-188,180,-480
54755,56,-88,520
54757,-40,-24,-56
54759,100,196,-916
54763,56,8,-1860
54765,4,-32,764
54767,-80,-68,168
54769,-176,-52,-1132
54781,276,128,224
54783,-104,-140,180
54785,-104,-20,-340
54787,276,148,-28
54789,-180,-172,4
54791,-116,-100,-592
54803,80,-68,-124
54805,-132,-104,244
54807,12,8,-128
54809,156,100,-20
54811,-40,4,184
54813,-28,-124,-328
54825,-108,-108,140
54827,-8,-68,12
54829,28,104,-244
54831,-100,40,-316
54833,4,-116,572
54835,-8,-8,-532
54847,120,52,880
54849,96,-68,1580
54851,-172,76,-72
54853,280,-112,460
54855,-376,12,76
54859,272,84,-264
54861,-164,100,8
54873,76,84,-588
54875,-52,96,-180
54877,124,-224,716
54879,0,-88,108
54881,4,144,-292
54883,72,88,-172
54895,84,60,-136
54897,-20,56,-212
54899,-184,-92,8
54901,4,-24,296
54903,16,16,104
54905,-108,-32,-212
54917,88,24,72
54919,56,-36,-4
54921,-112,-72,124
