T,X,Y,Z
48776,-12,-36,-32
48778,52,104,-12
48780,100,84,56
48792,56,44,-88
48794,44,12,-32
48796,-80,60,-12
48798,68,24,32
48800,80,-8,12
48802,48,52,104
48804,-12,-64,56
48816,-284,-92,1208
48818,236,-76,-148
48820,-208,164,-404
48822,0,-32,248
48824,268,-20,-76
48826,-72,-64,116
48838,24,-32,80
48842,368,-24,-352
48844,4,-20,1236
48846,-384,-228,1604
48848,276,-32,-736
48850,-172,240,68
48862,8,-336,808
48864,-168,-112,-436
48866,372,256,-424
48868,-152,-220,392
48870,-316,-272,112
48872,428,200,172
48884,-4,-232,268
48886,-40,104,-128
48888,52,120,-280
48890,-12,-132,48
48892,16,8,240
48894,80,20,64
48906,-16,-76,-64
48908,176,12,252
48910,-192,4,-24
48912,-256,-160,-316
48914,32,56,72
48916,156,176,220
48928,-96,-88,892
48930,72,28,200
48932,4,132,-3344
48934,152,-52,84
48938,284,36,-300
48940,-92,60,-188
48942,-132,96,-444
48944,160,8,872
48956,68,132,240
48958,208,-48,440
48960,-136,-68,-232
48962,-100,-96,36
48964,72,64,-212
48966,-76,-36,-184
48978,72,204,-256
48980,-120,44,-36
48982,-32,-76,140
48984,-4,-12,452
48986,164,16,-132
48988,-60,32,-120
