T,X,Y,Z
14731,-36,-16,20
14733,-32,8,148
14735,-52,-80,196
14737,36,16,52
14749,-12,68,56
14751,-68,-36,-8
14753,-52,-72,-56
14755,-104,-64,-32
14757,-56,12,-44
14759,-108,-8,-8
14771,232,-12,-464
14775,348,-24,540
14777,84,0,660
14779,-324,-52,-1076
14781,12,200,-436
14783,232,132,1124
14795,376,304,912
14797,104,44,2628
14799,-392,-412,-336
14801,12,64,-852
14803,320,424,52
14805,276,-8,568
14817,336,584,-388
14819,-244,-104,376
14821,-420,-484,-112
14823,196,264,-116
14825,408,360,-168
14827,-44,-96,-112
14839,164,276,-140
14841,-16,-52,252
14843,-104,-244,168
14845,160,152,-116
14847,72,212,-584
14849,-184,-136,-536
14861,28,12,-304
14863,-56,0,-36
14865,-16,-48,120
14869,-16,-20,-76
14871,-28,-128,-92
14873,-76,36,40
14875,-72,-12,288
14887,-16,76,-4
14889,40,136,-500
14891,36,-48,-20
14893,4,4,1104
14895,168,-196,2624
14897,36,-52,-276
14909,168,88,412
14911,-100,-100,-124
14913,-32,156,-760
14915,40,-68,288
14917,-352,-304,640
14919,48,60,-548
14931,132,-36,12
14933,-48,-60,-88
14935,-24,116,-128
14937,124,-12,212
14939,-8,-128,320
14941,12,-8,-268
14953,60,-52,-364
