T,X,Y,Z
17525,-92,-32,44
17527,84,-12,-20
17539,8,4,8
17541,-28,-64,36
17543,-88,20,-28
17545,88,-44,36
17547,-28,-108,20
17549,28,32,-4
17551,12,36,-140
17553,12,0,44
17555,188,148,-548
17567,500,132,-236
17569,92,-116,-8
17571,-84,-20,-788
17573,584,-64,-1352
17575,-484,-344,2084
17577,-528,456,-268
17579,-216,-112,-164
17591,-248,252,1604
17593,-284,28,1048
17595,388,-12,-1268
17597,152,184,796
17599,-124,-8,-16
17603,-188,80,676
17605,-128,388,668
17607,56,60,228
17609,92,12,224
17611,-92,-148,-448
17623,48,-316,92
17625,56,12,-100
17627,8,88,-148
17629,240,-36,-216
17631,72,-12,40
17633,-80,12,172
17635,8,-108,140
17637,-56,-36,344
17649,84,116,-88
17651,-160,-80,-320
17653,24,-92,-792
17655,-48,260,-884
17657,-264,12,328
17659,192,-20,412
17661,-44,52,-396
17663,228,172,-196
17675,60,-96,-140
17677,124,-72,-288
17679,16,-168,-152
17681,104,-132,240
17683,180,60,0
17685,-20,116,-164
17689,32,-48,-8
17691,20,36,-120
17693,28,0,-156
17695,52,-104,-164
17707,108,16,-116
17709,20,40,-160
17711,-104,-48,-256
17713,-36,16,-12
17715,-8,48,-80
17717,52,108,4
