T,X,Y,Z
8323,36,16,-8
8325,48,-16,-64
8337,40,-68,12
8339,64,-32,-112
8341,100,12,16
8343,-52,12,16
8345,68,28,-20
8347,88,16,60
8349,76,100,112
8361,-332,-176,-212
8363,-1048,-152,852
8365,-156,172,176
8367,1320,244,276
8371,268,0,-528
8373,-2888,80,664
8375,-2036,280,488
8387,-1524,272,776
8389,-500,28,336
8391,696,-272,824
8393,1140,-20,-372
8395,728,164,668
8397,28,84,-780
8409,-248,128,-192
8411,-528,-8,144
8413,-212,-40,564
8415,184,304,68
8417,92,208,-156
8419,40,24,356
8431,-8,152,32
8433,-436,-228,292
8435,-12,-120,340
8437,-72,8,-268
8439,-172,84,-160
8441,188,120,-180
8453,20,172,-592
8455,-116,-268,2496
8457,-192,-332,148
8459,180,-332,-1076
8461,308,0,-1244
8463,128,84,-1300
8467,48,-116,1964
8479,-72,36,1236
8481,-16,-24,-80
8483,36,-76,196
8485,260,260,-232
8487,52,24,-168
8489,0,-96,-56
8491,-124,-256,-8
8503,-92,-184,356
8505,60,36,40
8507,228,84,-72
8509,220,24,196
8511,24,-36,-256
8513,-196,-168,-188
8525,-148,64,-56
8527,-136,100,160
8529,116,152,-136
8531,52,108,-468
8533,52,-36,-52
8535,-76,-52,388
