T,X,Y,Z
8524,20,12,-32
8528,-64,-48,68
8530,68,-16,-20
8532,-12,-28,-88
8534,-16,44,100
8536,-68,-52,-80
8538,16,0,16
8540,-12,-44,-48
8542,-212,-124,124
8554,-36,100,396
8556,1176,-148,-2524
8558,-316,-412,-180
8560,-1772,460,2200
8562,-48,-272,-1576
8564,364,-464,1216
8566,-384,692,772
8578,932,32,-1792
8580,296,304,424
8582,-260,76,480
8584,-8,-828,-1824
8586,-172,100,564
8588,-236,848,984
8590,148,136,484
8592,368,-20,176
8604,52,-8,1156
8606,12,-516,516
8608,-52,-156,-396
8610,-272,128,-384
8614,344,-40,-176
8616,-96,168,128
8618,80,-244,360
8620,-168,-260,296
8622,92,16,-228
8634,-52,-80,-388
8636,-28,28,-796
8638,-112,428,-100
8640,336,152,-2856
8642,-212,16,592
8644,-12,12,592
8646,-4,136,-84
8648,36,172,-136
8660,-164,48,580
8662,80,60,-616
8664,180,56,44
8666,144,8,540
8668,-16,-32,-188
8670,56,-44,-384
8672,8,-60,-104
8674,-204,-180,-104
8686,60,20,-124
8688,-4,-68,148
8690,48,4,84
8692,84,48,-260
8694,-64,32,-160
8696,-88,32,-100
8698,-124,0,192
8700,28,-76,-20
8704,4,124,168
8706,-24,64,140
8708,16,68,216
