T,X,Y,Z
30651,76,-72,-32
30653,-16,-68,88
30665,-16,-36,164
30667,-20,-20,136
30669,-40,28,-84
30671,0,56,-40
30673,-48,-8,-52
30675,-52,64,76
30677,-156,40,164
30679,1932,264,376
30691,268,-216,568
30693,1620,-72,-5096
30695,-1852,-148,6132
30697,-80,352,-576
30701,-508,132,456
30703,600,692,-28
30705,84,-460,212
30707,500,-300,-2880
30709,-1044,124,556
30721,-64,-536,-892
30723,-104,624,700
30725,-212,312,852
30727,480,-104,140
30729,128,-112,332
30731,-380,-188,-888
30733,-456,-240,-116
30745,-140,120,260
30747,-84,-28,-244
30749,456,-148,-720
30751,240,76,108
30753,-72,72,172
30755,-128,-204,528
30757,-88,-180,144
30759,212,148,-888
30771,-604,-4,1452
30773,700,164,-864
30775,-148,-140,1100
30777,160,284,-232
30779,76,-172,508
30781,-80,4,148
30785,-132,-68,952
30787,408,44,-64
30789,100,-48,-296
30801,160,-324,144
30803,224,-60,-172
30805,40,-4,-164
30807,20,-60,120
30809,-48,-36,180
30811,160,-44,-292
30813,0,-88,-28
30815,-20,-60,-60
30827,-72,24,-176
30829,-124,8,-304
30831,-72,76,88
30833,56,4,-32
30835,8,-8,-112
30837,-20,-4,248
30839,24,68,0
30841,-128,80,-120
30843,28,-32,196
