T,X,Y,Z
24685,-36,-48,-4
24687,-8,-64,-132
24689,-16,52,136
24691,24,-8,92
24695,-28,-12,-100
24697,-28,56,-20
24699,-16,-36,-76
24701,28,-24,-12
24703,88,-36,-24
24705,48,-8,144
24717,-60,-56,1096
24719,-312,0,-124
24721,216,16,112
24723,104,-88,-24
24725,1480,160,-6248
24727,-1524,-436,4864
24729,-340,696,-388
24731,52,-372,-792
24743,-400,208,2268
24745,-152,12,124
24747,724,64,-1336
24749,-108,208,832
24751,-316,-196,-288
24753,24,-472,-1172
24755,-188,396,628
24767,92,-96,-172
24769,324,248,-296
24771,140,208,464
24773,-8,-292,724
24775,0,-288,8
24779,44,-4,-180
24781,256,-156,-212
24783,232,-48,52
24785,-92,36,136
24787,-172,-244,492
24799,-48,56,284
24801,-36,-8,-156
24803,-124,-48,-180
24805,-148,264,-924
24807,136,132,-1792
24809,144,-32,276
24811,-40,-100,-80
24813,-140,56,-164
24825,-20,-44,-176
24827,-200,-56,252
24829,68,24,-728
24831,24,20,436
24833,76,-140,452
24835,28,-112,-148
24837,84,-48,-212
24839,-68,-80,-32
24851,-100,16,16
24853,-36,52,-288
24855,-80,32,128
24857,64,-16,224
24859,0,-20,-16
24861,-60,104,-176
24865,-44,-4,160
24867,12,32,48
24869,40,120,52
