T,X,Y,Z
61509,-8,88,-64
61511,64,-8,-132
61523,-56,-52,36
61525,-16,-48,108
61527,-48,84,-48
61529,36,44,52
61531,68,44,28
61533,16,88,-88
61535,280,-224,44
61537,-452,4,-104
61539,472,4,1260
61551,-2120,276,4860
61553,256,16,-3104
61555,244,-696,1908
61557,-488,648,424
61559,1144,612,-332
61561,336,-988,20
61563,-348,-268,-2884
61567,-316,100,2792
61569,912,84,-2372
61581,316,316,240
61583,548,-356,232
61585,-80,-92,-44
61587,-692,-276,-1000
61589,-200,-148,-72
61591,172,336,-284
61593,292,444,160
61605,324,-80,176
61607,32,84,188
61609,-192,-260,548
61611,-280,-288,344
61613,-44,36,-320
61615,92,348,-696
61617,288,-56,256
61619,196,-48,268
61631,-216,116,152
61633,340,-192,892
61635,-284,-280,648
61637,-84,88,496
61639,144,292,-552
61641,144,28,352
61643,136,-92,-272
61645,108,-108,148
61657,40,-124,140
61661,-152,88,-68
61663,28,0,20
61665,48,-48,184
61667,252,-84,56
61669,20,4,-224
61671,-144,-44,-100
61673,32,72,-112
61675,128,92,148
61687,84,-8,120
61689,-40,40,156
61691,60,60,-24
61693,8,-48,160
61695,-96,48,-8
61697,16,172,128
61699,-36,72,300
61701,12,-28,-88
