T,X,Y,Z
14684,48,52,24
14686,60,28,144
14698,-60,60,12
14700,64,60,68
14702,16,16,-84
14706,-4,-28,32
14708,84,64,96
14710,-68,64,12
14712,152,20,36
14714,72,0,-24
14726,452,156,-668
14728,456,-232,828
14730,940,-24,-1192
14732,-876,308,-92
14734,-1472,268,-1144
14736,-1756,-412,-24
14748,-1340,116,-876
14750,384,-28,804
14752,1484,-160,144
14754,368,-28,-360
14756,-116,236,84
14768,-188,40,-620
14770,-320,96,-164
14772,-316,-76,724
14774,212,-104,240
14776,492,172,-132
14778,200,48,80
14790,-56,-144,264
14792,96,-4,112
14794,-144,8,376
14796,-28,76,140
14798,84,152,-348
14802,40,4,-160
14804,-96,-96,168
14806,24,-124,344
14818,-32,72,16
14820,-40,116,-364
14822,76,64,224
14824,304,-20,224
14826,-168,-36,156
14828,208,172,896
14840,256,-176,1336
14842,536,-200,788
14844,208,200,-1196
14846,-344,68,776
14848,-388,-128,-208
14860,-128,-136,664
14862,24,-132,252
14864,236,84,-640
14866,128,160,-268
14868,-128,-16,-116
14870,108,-20,-668
14882,-128,112,-24
14884,-192,-16,-164
14886,-84,-60,-200
14888,252,48,-8
14890,192,72,0
14892,80,-100,-124
14896,36,44,40
14908,96,-48,216
