T,X,Y,Z
60186,-16,100,-120
60188,36,80,-8
60190,64,-16,-8
60192,-8,-44,-68
60194,28,-28,-20
60206,112,20,-8
60208,-52,-4,-52
60210,88,-48,100
60212,4,28,-100
60214,428,-164,312
60216,784,608,-516
60228,-3712,-232,-1716
60230,-1100,92,1300
60232,3472,208,996
60234,2960,-516,1412
60236,428,-80,12
60238,-1724,684,-1664
60250,-764,464,-288
60254,92,-460,940
60256,604,-64,8
60258,156,428,-876
60260,-124,316,-1312
60262,-392,-20,-40
60274,196,0,216
60276,-220,-52,432
60278,-320,28,-188
60280,-160,48,-260
60282,384,188,-388
60284,484,-4,136
60296,-92,-92,304
60298,-388,-132,544
60300,-256,-108,596
60302,248,76,36
60304,480,188,-120
60306,-344,-36,560
60318,-132,-32,-172
60320,-128,-160,804
60322,308,-172,1500
60324,240,4,-672
60326,200,136,-56
60328,256,388,-912
60340,-260,16,384
60342,-284,-132,-104
60344,-4,-44,-252
60348,284,200,-540
60350,56,-12,-280
60352,-12,-168,240
60354,-184,-20,116
60366,-188,-120,160
60368,144,104,88
60370,220,-8,-12
60372,240,100,-56
60374,16,32,-56
60376,-288,-60,192
60388,-28,-68,-60
60390,168,124,72
60392,128,-40,-212
60394,128,36,-212
60396,-48,52,184
60398,-4,-64,196
