T,X,Y,Z
3400,0,60,-24
3412,-28,-28,-112
3414,-4,-24,0
3416,48,-8,-68
3418,-32,112,-40
3420,-64,-56,68
3422,32,40,-28
3424,-24,-84,-52
3436,120,44,36
3438,4,20,-76
3440,580,532,-1612
3442,-592,-568,1876
3444,216,52,160
3448,-276,-208,-296
3450,-396,-248,600
3462,-292,-224,728
3464,108,-260,1752
3466,180,20,1724
3468,-208,-36,148
3470,-160,-40,-968
3472,220,68,-1448
3484,136,148,-608
3486,-288,-176,52
3488,-184,-148,572
3490,144,84,324
3492,-48,0,232
3494,192,-28,-884
3506,140,84,-328
3508,-172,-228,528
3510,-184,-144,568
3512,84,64,28
3514,200,64,-720
3516,-24,88,-224
3518,72,88,-128
3530,-116,-188,-220
3532,-20,-76,140
3534,24,100,100
3536,48,40,-196
3538,-64,0,-276
3540,68,36,56
3544,-20,-52,368
3556,92,48,72
3558,152,180,-296
3560,-80,-92,724
3562,-172,-300,-84
3564,36,556,-2652
3566,276,-92,-324
3578,-72,212,852
3580,116,60,152
3582,80,-32,-584
3584,-160,-96,-80
3586,68,-68,508
3588,28,144,-632
3590,-16,0,-208
3602,116,144,-444
3604,-132,-124,-160
3606,48,-124,-92
3608,-92,4,424
3610,-52,116,80
3612,56,-40,-416
