T,X,Y,Z
51350,148,120,48
51352,8,4,16
51354,4,-56,108
51356,52,76,28
51358,-28,-136,-68
51370,-60,52,-16
51372,-4,-68,-120
51374,-28,-64,0
51376,-32,32,-60
51378,0,12,72
51382,40,116,-824
51384,132,-96,576
51396,-120,-68,736
51398,-28,-52,-156
51400,100,176,8
51402,0,60,316
51404,64,-16,-160
51406,144,176,-748
51418,144,-60,1700
51420,-8,-216,1636
51422,-116,36,-144
51424,64,28,-876
51426,-264,-36,120
51428,540,124,-640
51440,132,240,-800
51442,-240,-64,448
51444,64,-104,684
51446,136,68,-124
51448,228,48,-188
51450,-24,8,-564
51462,-8,8,332
51464,40,-52,388
51466,-108,-16,104
51468,108,84,-180
51470,108,120,-384
51472,-56,104,-24
51484,-20,44,-64
51488,80,12,28
51490,36,52,128
51492,136,-100,-280
51494,-8,8,-276
51496,-40,-28,-136
51508,444,72,344
51510,180,-56,1304
51512,-408,20,300
51514,608,88,-884
51516,-128,-20,896
51518,92,-40,-312
51530,-104,8,-216
51532,-36,-4,176
51534,24,-72,332
51536,-56,16,40
51538,40,144,-312
51540,-8,-116,-4
51552,-16,-84,332
51554,-36,-80,308
51556,-8,-104,-36
51558,52,80,-196
51560,28,-20,-276
51562,-20,36,-152
