T,X,Y,Z
26268,16,40,-32
26270,8,-68,-32
26272,8,-148,24
26284,152,48,-24
26286,16,32,-116
26288,44,32,0
26290,80,16,-64
26292,48,-64,0
26294,48,72,-16
26306,40,48,168
26308,180,20,-1328
26312,-84,152,-808
26314,164,-400,1444
26316,-288,156,-348
26318,96,148,-488
26320,-64,-48,-444
26332,232,224,240
26334,48,-60,-124
26336,-444,-140,-108
26338,-228,204,-2820
26340,84,-72,2248
26342,148,-136,1288
26354,88,-84,-600
26356,16,-60,-368
26358,-232,-216,1036
26360,248,16,356
26362,236,240,-1248
26374,168,-108,-192
26376,-132,-156,772
26378,-72,-196,16
26380,-24,-108,-240
26382,76,-28,-184
26384,168,112,28
26396,12,-20,-268
26398,-112,-88,172
26400,-136,-32,612
26402,24,4,-12
26406,-168,72,-276
26408,-44,-52,16
26410,64,24,372
26422,-120,-76,336
26424,200,-80,224
26426,388,-92,1816
26428,28,160,-1724
26430,-4,-224,104
26432,128,280,-608
26444,132,0,124
26446,-84,76,-12
26448,-72,-32,-16
26450,224,48,-536
26452,-120,-20,352
26454,-40,60,192
26466,-88,-88,296
26468,128,64,92
26470,100,104,116
26472,-36,-8,-36
26474,-16,-144,-168
26476,-8,-60,236
26488,20,0,232
26490,104,16,-48
