T,X,Y,Z
6037,0,-52,36
6039,-32,-88,192
6041,56,44,52
6053,28,60,-4
6055,36,60,-8
6057,96,-148,-16
6059,32,-32,84
6063,56,16,68
6065,636,120,68
6067,120,-136,-384
6069,-676,-184,616
6081,-3292,-272,532
6083,-1572,328,-1928
6085,620,-168,288
6087,2260,-528,512
6089,2628,140,380
6091,668,280,284
6103,1252,8,312
6105,148,16,-172
6107,-644,-180,532
6109,-324,80,568
6111,336,76,-184
6113,460,208,28
6125,348,8,208
6127,232,-56,440
6129,-84,-200,308
6131,-272,24,-224
6133,-176,84,116
6135,96,96,-468
6137,272,-24,172
6149,-288,12,-256
6151,-280,-88,-360
6153,28,-116,440
6155,104,-64,68
6157,176,-60,172
6164,-356,-100,164
6166,-60,44,596
6168,116,-144,-92
6170,264,-180,-1184
6182,132,-32,-684
6184,-128,144,-628
6186,0,52,-48
6188,-140,-36,-340
6190,100,-40,408
6192,72,-76,228
6204,0,-48,-36
6206,92,56,-28
6208,148,-20,-92
6210,8,-28,220
6212,-108,-32,4
6214,-40,0,-8
6216,32,-36,-40
6228,232,8,52
6230,60,24,-120
6232,-120,48,-96
6234,-72,-40,-64
6236,-124,44,-56
6238,52,-52,-248
6240,32,12,-112
6252,44,60,-172
