T,X,Y,Z
48112,-56,116,112
48114,-16,20,68
48116,24,84,52
48118,0,-36,-20
48120,-20,8,8
48132,4,8,36
48134,-76,-92,68
48136,-220,228,-100
48138,720,352,24
48140,-1044,-844,-320
48142,28,44,-2696
48154,-172,-316,-1128
48156,320,-76,916
48158,996,156,320
48160,24,140,-680
48162,-120,180,280
48164,-180,-32,124
48176,-12,-184,768
48178,-104,0,472
48180,68,264,-276
48182,96,-24,-268
48186,36,-24,-144
48188,140,256,840
48190,-136,4,484
48202,76,-64,-328
48204,236,208,-356
48206,-144,120,156
48208,-236,-52,-76
48210,44,-20,504
48212,24,32,280
48224,232,-624,652
48226,-748,48,-4584
48228,-1232,-268,-2652
48230,100,-100,2068
48232,840,544,408
48234,-112,0,-1924
48246,516,256,444
48248,532,540,804
48250,-344,4,76
48252,-212,-32,-704
48254,64,-112,976
48256,120,-76,880
48268,-28,24,-72
48270,16,52,-680
48272,76,148,-204
48274,-84,-52,316
48276,-100,52,276
48280,148,-112,272
48282,224,160,-148
48294,132,48,-372
48296,-196,-68,-112
48298,-312,36,-152
48300,-164,-48,-116
48302,20,-48,28
48304,144,116,80
48316,12,88,-312
48318,-32,8,-132
48320,-160,60,-252
48322,-16,76,40
48324,76,-40,60
