T,X,Y,Z
26436,84,36,52
26448,-28,56,-8
26450,24,4,56
26452,52,60,68
26454,-16,-92,-4
26456,-16,12,72
26458,28,8,20
26460,48,20,-32
26472,632,-244,368
26474,736,-148,-108
26476,764,236,680
26478,-1228,32,-1684
26484,1188,140,628
26486,2372,36,640
26488,820,-276,-560
26490,-564,280,-160
26502,-100,348,-528
26504,-812,60,56
26506,-244,-284,532
26508,472,-200,-132
26510,484,152,384
26512,76,240,-332
26524,200,-36,28
26526,476,-124,-28
26528,56,-132,8
26530,-376,-52,212
26532,-176,68,-332
26534,120,156,-248
26546,228,120,-112
26548,-72,-44,-308
26550,-200,-116,404
26552,-28,0,152
26554,16,60,16
26556,-228,16,104
26568,-128,360,-228
26570,-764,-192,-220
26572,-72,-440,1052
26574,208,120,-924
26580,44,-92,-584
26582,32,312,1396
26584,-392,80,-1144
26586,-124,-252,820
26598,-140,100,-640
26600,168,56,-392
26602,60,-76,-164
26604,84,-124,132
26606,228,20,-24
26608,-64,64,80
26620,-148,56,-68
26622,96,-28,172
26624,200,-80,-20
26626,116,36,376
26628,-32,-28,-172
26630,-172,0,-20
26642,-60,16,80
26644,16,28,-92
26646,80,64,20
26648,48,-16,-96
26650,36,-4,-16
26652,120,60,148
