T,X,Y,Z
43351,52,-12,-8
43353,72,76,52
43355,132,80,-20
43367,32,40,96
43369,-72,-48,100
43371,40,56,144
43373,-72,-20,-8
43375,36,-44,92
43377,16,0,-72
43379,4,-12,-184
43391,336,48,-1284
43393,-496,-92,420
43395,320,-140,500
43397,224,124,-352
43399,-336,84,-168
43401,272,-136,104
43413,12,124,-984
43417,-108,-184,328
43419,-144,-100,-316
43421,272,196,280
43423,-156,44,0
43425,104,-228,792
43437,24,120,160
43439,-100,-56,420
43441,28,-192,40
43443,-172,-28,-180
43445,424,168,-664
43447,-84,-116,336
43459,-80,80,-392
43461,28,-76,-80
43463,-152,-12,88
43465,44,28,-180
43467,104,56,-180
43469,-16,92,104
43481,72,-4,-32
43483,-180,8,200
43485,-32,-48,100
43487,-40,-48,192
43489,-32,68,-268
43491,-108,-8,0
43503,-32,-40,4
43505,-8,20,-108
43507,116,76,-176
43509,-268,-96,-16
43513,72,-64,1404
43515,384,108,-1476
43517,-556,-60,508
43529,-64,-144,-164
43531,-128,60,-776
43533,300,240,144
43535,-244,-156,688
43537,-80,4,-284
43539,460,204,-108
43551,-52,-20,188
43553,-92,16,-340
43555,12,-40,-52
43557,-28,-156,424
43559,-36,-104,-104
43561,132,200,-456
43573,92,28,-100
