T,X,Y,Z
36446,52,56,48
36458,0,36,-36
36460,16,60,80
36462,-52,32,-56
36464,4,4,-16
36466,100,-20,4
36468,-36,-60,60
36472,20,24,-36
36474,-24,56,140
36486,-176,16,300
36488,-164,-92,1004
36490,368,28,-100
36492,-536,-76,-336
36494,52,-120,604
36496,216,-4,516
36508,380,452,-3044
36510,-272,-120,1784
36512,-216,-324,-364
36514,360,300,-928
36516,-136,112,1452
36528,-108,-164,-496
36530,300,392,-408
36532,236,-68,892
36534,-432,-408,488
36536,200,336,-656
36538,276,296,8
36550,20,4,204
36552,120,156,-432
36554,-72,-92,-52
36556,-72,-168,436
36558,68,188,-20
36560,152,120,-68
36572,-76,112,436
36576,-236,-56,-128
36578,28,-8,216
36580,-16,-32,-20
36582,56,68,-200
36584,8,100,308
36596,-84,-112,-24
36598,276,28,564
36600,148,24,1656
36602,-132,-72,-72
36604,252,-8,112
36606,44,68,884
36618,-104,80,-248
36620,48,128,664
36622,92,-168,276
36624,-72,72,-664
36626,152,80,-96
36628,8,12,568
36640,8,44,120
36642,-48,-80,184
36644,-48,-16,-40
36646,-8,44,-444
36648,-12,100,-492
36650,-108,-92,40
36662,-48,-48,4
36664,-16,-16,112
36666,60,-52,24
36668,48,88,-72
