T,X,Y,Z
51243,-60,44,-92
51245,32,-16,-60
51257,-32,40,-92
51259,-48,-32,56
51261,-32,-40,108
51263,-28,40,96
51265,76,12,-52
51267,-40,8,-100
51279,-20,60,52
51281,-12,-124,68
51283,316,92,-1120
51285,-404,-52,376
51289,404,112,-700
51291,-496,80,-724
51293,180,-196,748
51305,-376,208,-3956
51307,120,72,600
51309,36,-240,196
51311,-292,88,-648
51313,-100,144,448
51315,112,-64,68
51327,280,348,-732
51329,204,-4,520
51331,-240,-396,432
51333,76,52,-184
51335,200,184,-528
51337,-132,-148,72
51349,96,244,-408
51351,-8,-36,-132
51353,-116,-212,404
51355,52,96,56
51357,120,76,-188
51359,60,-32,-184
51371,-108,116,100
51373,12,-60,-388
51375,-192,-72,-144
51377,-24,-148,-76
51379,480,128,848
51381,-284,-132,1300
51385,316,272,772
51397,-184,-60,76
51399,172,148,-292
51401,-84,32,380
51403,128,-224,296
51405,-32,164,-500
51407,168,180,20
51419,28,4,96
51421,-116,52,132
51423,-16,-116,40
51425,0,-92,116
51427,48,32,-224
51429,-24,-16,-344
51441,-56,-76,20
51443,76,12,-92
51445,-8,-84,-124
51447,0,-32,44
51449,68,-8,208
51451,-32,36,40
51453,-104,32,-112
51465,40,-12,40
