T,X,Y,Z
37952,-16,-24,-96
37954,52,-20,92
37956,60,4,-36
37960,-4,128,-60
37972,92,20,52
37974,36,72,-32
37976,-36,-28,-72
37978,-12,0,-20
37980,164,52,0
37982,-384,16,-32
37984,576,216,520
37996,308,-32,-328
37998,-1132,-60,-152
38000,-840,-20,700
38002,256,-64,-84
38004,148,-192,792
38016,-28,40,216
38018,172,-88,-76
38020,156,48,4
38022,-120,256,-316
38024,-236,80,208
38026,20,-132,544
38038,20,-140,732
38040,-4,112,16
38042,-8,140,-140
38044,-12,-12,-100
38046,120,-96,-100
38048,132,-4,192
38060,-92,-108,300
38062,-24,-136,324
38066,40,176,-64
38068,-104,100,-52
38070,-224,-72,12
38072,-268,-48,116
38074,-116,136,224
38086,32,272,-56
38088,52,8,-204
38090,-584,-68,1512
38092,40,164,864
38094,300,-36,-244
38096,140,-228,-204
38108,172,-16,276
38110,-92,168,-484
38112,-216,184,160
38114,-192,36,-104
38116,-48,-160,-104
38118,140,-92,324
38130,48,108,200
38132,-68,136,-100
38134,64,100,-360
38136,-124,184,96
38138,-44,-88,-88
38140,-160,-56,-92
38152,-84,-60,48
38154,120,16,-72
38156,208,88,-140
38158,-12,144,32
38162,-44,0,80
38164,-72,-28,-120
38166,120,124,-48
