T,X,Y,Z
14047,84,12,-16
14049,-8,12,-16
14061,-60,32,8
14063,-60,-8,-56
14065,-28,92,-4
14067,12,-48,-64
14069,44,-56,-72
14071,12,60,-20
14073,4,20,36
14085,180,48,-224
14089,364,-188,424
14091,0,0,-2884
14093,-848,-80,1032
14095,-708,300,480
14097,-1028,-508,-184
14109,-220,-44,80
14111,460,212,-140
14113,308,12,-424
14115,-32,156,52
14117,-140,56,168
14119,-92,-40,-160
14131,-172,8,-180
14133,-388,-88,252
14135,-112,64,124
14137,132,388,-240
14139,20,-28,112
14141,136,-208,-120
14153,48,-120,100
14155,108,-20,188
14157,-284,48,260
14159,-124,40,4
14161,-120,52,-248
14163,-184,-140,112
14175,-164,304,1844
14177,-44,12,-748
14179,248,-312,-636
14183,72,148,-28
14185,-32,264,-212
14187,-268,-48,592
14189,-184,-132,312
14201,-4,-80,-60
14203,244,-68,116
14205,320,28,-48
14207,44,116,-48
14209,-36,-144,340
14211,12,-88,-64
14223,-140,28,112
14225,44,116,-72
14227,88,12,-232
14229,60,52,-76
14231,76,104,-8
14233,-32,-44,132
14245,-88,-32,80
14247,-24,120,-76
14249,36,100,-316
14251,116,68,-80
14253,72,-68,48
14255,44,-120,136
14267,-52,-40,-172
14269,96,-56,-100
