T,X,Y,Z
9777,52,4,0
9779,64,56,-8
9781,-24,112,48
9783,52,-24,36
9795,160,0,-20
9797,4,-60,-48
9799,-36,-12,-24
9801,100,-28,4
9803,0,-108,-84
9805,-20,-48,68
9807,264,-92,-584
9819,308,268,352
9821,192,160,260
9823,-304,-32,72
9825,-24,68,-248
9827,224,92,-2604
9829,-920,-264,1064
9841,-28,272,228
9843,-220,172,1184
9845,120,-76,-292
9847,144,144,-132
9849,-44,44,-268
9851,-52,0,164
9863,64,12,28
9865,124,60,-92
9867,-40,36,-136
9869,-188,92,32
9871,-32,20,-120
9873,16,104,-232
9877,-92,48,-8
9879,-160,44,-8
9891,140,-92,152
9893,88,-32,-72
9895,116,128,-136
9897,-120,-56,-112
9899,-168,-108,-348
9901,-32,-128,164
9913,-92,88,92
9915,-192,88,-204
9917,-52,184,72
9919,164,16,-932
9921,20,-136,-184
9923,-32,20,424
9925,84,224,92
9937,-72,-32,-264
9939,-40,-68,-24
9941,0,104,100
9943,112,100,212
9945,108,-60,304
9947,-88,-52,-76
9959,72,-8,224
9961,40,56,-36
9963,92,-52,-68
9965,-64,28,-28
9967,52,116,252
9969,-56,-44,156
9971,-60,24,-12
9983,-4,108,64
9987,-56,20,-72
9989,16,-16,-32
