T,X,Y,Z
21252,-4,12,-112
21254,-20,-28,-40
21256,52,-16,-80
21258,20,-12,-32
21260,-24,12,-72
21262,-44,0,20
21274,-16,48,24
21276,40,40,32
21278,-52,-44,-68
21280,148,20,-132
21282,20,48,-1088
21284,-384,-240,1512
21296,-160,-100,436
21298,116,120,388
21300,160,8,252
21302,52,-176,-404
21304,20,292,-448
21308,-268,-300,136
21310,72,60,-884
21322,-40,-136,168
21324,100,-8,28
21326,56,180,-456
21328,4,68,-480
21330,84,-80,740
21332,-128,-236,688
21344,-8,96,-176
21346,144,-60,204
21348,-168,-4,20
21350,-116,-72,-100
21352,-72,-96,-4
21354,-124,-204,80
21366,84,40,-344
21368,-128,28,-432
21370,-76,-4,-80
21372,-84,-8,352
21374,-92,20,-112
21376,72,16,-164
21388,112,28,-536
21390,28,48,-3308
21392,60,164,-2100
21394,-360,132,-472
21396,192,-296,292
21398,248,-44,-228
21410,84,20,32
21412,-20,-96,-32
21416,204,172,92
21418,-148,-80,220
21420,-116,-108,104
21422,248,60,-296
21424,-144,64,-356
21436,20,44,-28
21438,-56,20,-52
21440,-4,-76,4
21442,-56,-144,140
21444,80,-4,12
21446,108,-32,-248
21458,36,28,196
21460,-84,72,12
21462,0,-68,28
21464,-24,-44,-76
