T,X,Y,Z
3834,-28,-16,24
3836,20,44,-72
3848,-108,-40,60
3850,-40,-16,96
3854,-44,20,72
3856,-88,36,-92
3858,-128,36,28
3860,8,32,-52
3862,-28,-68,36
3864,-16,108,-36
3866,336,112,-628
3868,380,-264,1184
3880,560,-68,-512
3882,96,-12,-32
3884,-584,-452,-556
3886,-532,680,1040
3888,-572,-184,-100
3890,848,-144,792
3892,-484,160,604
3904,268,8,-1364
3906,344,196,-344
3908,68,172,392
3910,-292,-296,-1284
3912,-120,-24,356
3914,-224,608,1108
3916,156,96,-4
3918,256,-132,32
3930,-60,32,412
3932,24,-416,824
3934,-180,-176,-424
3936,-4,8,-340
3938,112,-76,-424
3942,-20,-152,212
3944,-248,-172,656
3946,-40,-92,-60
3948,-52,-92,-204
3960,-8,-352,2884
3962,308,236,-2060
3964,228,260,-524
3966,212,-132,-1584
3968,-592,-100,324
3970,-96,200,488
3972,80,44,912
3974,144,64,-1208
3986,-52,12,-380
3988,232,-80,32
3990,276,-92,592
3992,-164,-156,-332
3994,40,48,264
3996,108,36,48
3998,100,32,-304
4000,-96,-140,384
4012,44,-52,340
4014,-48,-32,164
4016,-32,48,-200
4018,52,64,-412
4020,80,164,-508
4022,56,-40,76
4024,-12,-64,316
4026,-28,16,-92
