T,X,Y,Z
63589,-80,-64,-12
63591,76,4,112
63593,28,-24,-12
63595,0,-40,8
63597,-100,64,-48
63599,28,36,64
63611,724,252,-232
63613,-476,-380,-252
63615,468,340,-340
63621,-136,-120,-164
63623,980,56,-1228
63625,-616,16,-628
63627,-900,208,900
63629,-188,-128,220
63631,284,24,580
63643,40,64,1488
63645,292,-192,-1072
63647,364,32,-432
63649,-120,-52,588
63651,-320,-352,-860
63653,-12,36,40
63655,-112,472,1072
63657,252,156,-136
63669,224,172,-28
63671,68,-268,488
63673,320,-52,-32
63675,-376,-84,-8
63677,296,48,-320
63679,-12,-28,148
63681,312,140,208
63683,-32,-48,12
63695,100,-176,124
63697,-120,-120,324
63699,-408,60,612
63701,-572,100,-292
63707,156,68,-980
63709,-160,-188,840
63711,-224,-76,-888
63713,-416,224,92
63715,112,296,560
63717,252,-80,-1132
63729,-16,20,128
63731,4,-332,-248
63733,220,-120,-104
63735,-72,136,-516
63737,-108,-24,20
63739,88,52,480
63741,180,84,0
63743,-124,-104,-40
63755,44,32,100
63757,-28,72,48
63759,-68,-40,12
63761,108,12,-184
63763,100,68,-128
63765,116,32,-84
63767,-8,-40,292
63769,-80,64,-20
63771,-20,52,-204
63783,-104,88,108
63785,-72,0,-16
