T,X,Y,Z
5764,4,-44,4
5776,-4,0,-64
5778,36,-104,88
5780,44,4,-28
5782,48,20,8
5784,-68,32,8
5786,-92,-28,-88
5788,-24,56,-144
5800,-32,-72,72
5802,36,-8,108
5804,72,160,-2296
5806,-28,-12,1572
5808,96,-32,376
5810,96,164,-280
5812,-184,68,-428
5824,256,-92,620
5826,0,-8,-8
5828,-28,416,-6192
5830,-776,-296,2532
5832,628,-208,1584
5834,272,168,1032
5846,20,36,-344
5848,-36,-108,980
5852,224,84,-620
5854,-492,-108,348
5856,76,-40,336
5858,128,100,24
5860,-228,-12,-304
5872,48,116,-8
5874,44,-32,120
5876,-96,-124,308
5878,-28,-8,32
5880,104,24,-440
5882,140,40,-224
5884,-104,16,-432
5896,-28,-60,-276
5898,16,-104,-200
5900,-16,-60,84
5902,4,8,-216
5904,4,60,-56
5906,-8,-52,244
5918,-40,-20,44
5920,-40,-24,-112
5922,56,28,-116
5924,-24,12,-48
5926,292,176,-688
5928,-268,-112,504
5940,-576,-76,828
5942,152,-284,148
5944,44,184,-412
5946,-40,-8,480
5948,88,36,0
5952,-100,-80,336
5954,-144,16,-216
5956,380,100,-384
5968,284,256,-656
5970,-196,8,36
5972,132,-92,76
5974,-52,-96,580
5976,-72,-32,264
