T,X,Y,Z
45208,-60,36,-72
45210,36,-52,60
45212,-40,112,-92
45214,48,-24,28
45226,-68,-28,-76
45228,32,56,68
45230,48,-24,104
45232,-16,12,-172
45234,-56,-20,-8
45236,28,76,-20
45238,92,12,-988
45250,288,76,100
45252,-124,-76,636
45254,36,-124,-256
45256,60,192,-420
45258,160,-64,788
45260,-148,-60,440
45272,12,96,-680
45274,320,-20,-136
45276,-448,-68,1628
45278,-88,-220,188
45282,-568,-92,648
45284,92,-116,-8
45286,212,176,-324
45298,272,8,-172
45300,-164,-72,428
45302,-108,8,88
45304,208,-68,-112
45306,-268,-104,-140
45308,148,32,-368
45320,0,36,-16
45322,72,-40,184
45324,-204,-20,120
45326,112,84,-88
45328,136,-28,60
45330,-44,76,-264
45342,56,-72,216
45344,-164,-48,32
45346,4,-28,-280
45348,-88,0,-104
45350,24,-8,-8
45352,72,64,132
45364,60,-32,208
45366,16,28,144
45368,-8,40,88
45370,-108,16,-136
45372,108,140,-184
45374,0,244,-268
45378,132,-136,944
45380,316,416,-1364
45392,128,-68,-1100
45394,24,220,484
45396,176,-88,160
45398,-84,-168,-80
45400,16,-140,-264
45412,-112,-132,464
45414,-144,-148,-16
45416,276,212,-600
45418,20,152,-316
45420,-152,-184,184
