T,X,Y,Z
48682,68,28,-184
48684,0,8,108
48686,0,84,-76
48688,32,132,60
48690,-12,-8,-32
48702,-28,-32,52
48704,152,68,4
48706,20,-32,-16
48708,-84,-8,-72
48710,124,40,208
48712,372,48,-716
48714,-348,-184,880
48716,68,92,-684
48718,136,8,408
48730,60,68,804
48732,-216,64,-420
48734,608,260,-3676
48738,-28,292,-672
48740,-352,-212,416
48742,308,92,-680
48744,-220,276,276
48746,364,112,328
48748,64,-208,-652
48760,-152,-160,80
48762,-76,-292,-460
48764,-40,168,488
48766,-100,192,128
48768,144,60,452
48770,176,-52,-280
48772,-12,-8,-376
48774,-108,-96,-20
48786,-28,128,-308
48788,24,104,-20
48790,-12,176,28
48792,76,-76,-88
48794,32,-84,-88
48796,-220,-72,132
48798,-192,-88,112
48800,20,60,-224
48812,-60,-32,-140
48814,-32,-44,-132
48816,-56,48,-136
48818,-32,-76,196
48822,16,20,4
48824,-24,168,76
48826,108,60,48
48828,92,-184,-160
48830,-24,-76,-60
48832,224,32,-144
48844,144,172,272
48846,-12,-136,-408
48848,-144,92,-424
48850,-264,56,912
48852,304,-12,120
48854,28,-40,-792
48856,176,-28,288
48858,-76,-8,172
48870,-40,-44,-556
48872,-64,4,304
48874,-72,76,12
