T,X,Y,Z
11078,52,-12,88
11080,36,-40,-60
11084,-8,60,-64
11086,4,4,-116
11088,24,16,-48
11090,-56,60,-76
11092,24,-44,-28
11094,8,12,-132
11106,520,-124,204
11108,-684,-32,380
11110,580,308,452
11112,-64,-168,352
11114,196,-132,-1116
11116,-140,-56,704
11118,384,188,388
11120,-644,-412,-1020
11132,184,-196,32
11134,-8,-232,-1644
11136,-524,176,1220
11138,-396,36,1116
11140,132,-72,-872
11142,452,76,20
11144,56,104,16
11156,132,-96,-548
11158,-132,-148,-528
11160,-208,-132,-156
11162,40,-12,-244
11164,128,320,92
11166,-16,116,536
11170,-148,-112,12
11172,16,44,-452
11174,96,20,-180
11176,12,-4,8
11188,60,84,44
11190,4,-112,256
11192,-132,-48,-40
11194,-104,44,244
11196,-28,-36,-128
11198,-120,24,100
11200,104,72,-420
11202,108,-48,-280
11214,-108,-64,368
11216,-64,76,948
11218,244,80,456
11220,212,-268,592
11222,-352,148,748
11224,652,220,-28
11226,-360,-292,208
11228,116,16,-404
11240,20,-100,-280
11242,-64,-100,60
11244,-40,72,276
11246,-36,-8,92
11248,28,-72,84
11250,4,-12,-164
11252,-132,48,20
11256,16,-20,-200
11258,-84,28,-64
11260,-60,-4,252
11272,-20,-60,4
