T,X,Y,Z
11922,-64,48,-12
11924,-20,-12,36
11926,44,80,104
11938,-40,-16,-100
11940,-44,8,24
11942,56,0,128
11944,-80,4,152
11946,-64,-80,-80
11948,-84,8,-80
11950,48,0,120
11962,140,-216,712
11964,-384,88,-292
11966,336,180,-376
11968,-24,16,196
11970,-28,-176,496
11972,28,16,-392
11984,-64,-192,320
11986,192,-48,368
11988,36,24,448
11990,160,132,-1116
11992,-64,-144,224
11994,-44,-28,688
12006,-52,64,-1736
12008,-116,-64,3180
12010,520,0,88
12012,-336,132,-440
12014,-172,24,-924
12018,-4,36,864
12020,-284,-204,48
12032,-200,-220,376
12034,280,-8,-8
12036,24,16,-104
12038,4,-16,-184
12040,128,60,-172
12042,-116,-212,588
12054,-76,-12,156
12056,20,56,-236
12058,112,56,-308
12060,-12,0,20
12062,-64,108,188
12064,-20,24,88
12076,88,0,64
12078,76,80,-312
12080,-52,32,-12
12082,148,-52,524
12084,192,-152,664
12086,-48,-180,-72
12098,-160,-148,56
12100,8,-48,-396
12102,-36,100,-140
12104,72,164,-228
12106,-156,-56,108
12108,36,76,536
12120,116,96,-48
12122,-4,104,-76
12129,-44,-56,-200
12131,44,52,-560
12133,16,76,-32
12135,-28,-32,188
12137,-52,-40,164
