T,X,Y,Z
48511,100,44,-188
48513,-36,48,280
48515,104,-12,-8
48517,52,-56,76
48519,-168,-84,116
48523,248,64,164
48525,-208,12,108
48537,20,96,-268
48539,20,-52,156
48541,-72,-32,396
48543,80,44,-404
48545,96,64,-316
48547,-80,20,604
48559,-24,52,132
48561,-20,-36,96
48563,4,-108,264
48565,12,68,192
48567,-4,-8,-236
48569,-16,-12,-28
48571,-20,4,100
48583,-116,-64,480
48585,-24,116,-420
48587,-8,36,-16
48589,40,24,-52
48591,132,-20,-60
48593,12,8,-72
48605,-360,-120,968
48607,8,-156,1968
48609,188,12,-1040
48611,-168,84,-504
48613,16,-4,-128
48615,96,-164,956
48627,4,48,140
48631,176,16,-476
48633,180,188,-168
48635,32,-100,304
48637,-92,-48,-152
48639,68,-36,28
48651,-32,-124,148
48653,-36,-44,-128
48655,68,112,-376
48657,60,20,-144
48659,16,-68,268
48661,-64,-64,200
48673,4,-68,-4
48675,-16,12,140
48677,40,28,-56
48679,52,-20,-192
48681,-32,-8,228
48683,-32,28,148
48685,40,104,-64
48697,68,92,-108
48699,80,60,-12
48701,-4,-52,-100
48703,56,-80,60
48705,-80,36,216
48707,8,28,-120
48719,4,64,-124
48721,-4,44,-40
48723,-20,-52,12
