T,X,Y,Z
53576,-16,8,-88
53578,-60,-8,40
53580,-32,-16,-64
53582,48,-12,-64
53594,-32,-48,-40
53596,-44,68,12
53598,-8,-24,100
53600,-8,64,-12
53602,44,0,-88
53604,-8,-20,-96
53616,164,156,-1308
53618,-272,-88,608
53620,84,-136,668
53622,160,36,296
53624,-348,-44,-212
53626,156,-40,20
53638,92,48,-144
53640,212,96,32
53642,-76,36,340
53644,8,-80,272
53646,56,-12,-124
53648,4,24,-732
53652,180,-12,328
53654,-192,-84,100
53666,36,-48,520
53668,16,68,-124
53670,8,-28,-444
53672,80,68,-120
53674,48,16,124
53676,-132,-64,176
53688,100,-48,316
53690,88,-32,20
53692,108,180,-544
53694,56,24,20
53696,20,-124,224
53698,-56,-84,400
53710,84,-44,52
53712,12,-16,-324
53714,76,60,-136
53716,44,80,196
53718,-20,36,-76
53720,-16,0,-48
53722,-96,16,96
53734,76,28,-308
53736,76,56,-480
53738,-256,-56,912
53740,132,-116,936
53742,-16,248,-1948
53744,16,-64,-748
53756,48,8,672
53760,-24,-28,-240
53762,-268,28,372
53764,200,124,8
53766,72,132,-132
53768,-108,0,-184
53780,92,16,4
53782,-76,-72,236
53784,-8,48,224
53786,68,20,56
53788,128,196,-332
