T,X,Y,Z
7392,60,0,-48
7394,-8,-60,-52
7396,16,-8,-64
7398,8,4,-104
7400,56,-84,-68
7402,-100,-76,56
7404,44,44,-88
7416,72,32,12
7418,52,88,12
7420,0,-92,-104
7422,60,112,-1492
7424,-240,-36,1516
7426,128,92,124
7428,4,-60,-332
7440,48,180,120
7442,124,8,-252
7444,-284,-116,292
7446,424,84,-332
7448,-624,76,-2984
7450,-476,-432,1388
7462,-132,-168,-152
7464,144,60,-1040
7466,240,64,432
7468,-272,-364,428
7470,24,-24,-64
7472,256,40,-20
7484,-48,76,40
7486,16,52,48
7490,-156,-72,-4
7492,8,60,-312
7494,104,132,244
7496,-28,-24,296
7498,48,24,212
7500,92,120,40
7512,40,-72,-208
7514,-48,116,-224
7516,-100,36,332
7518,-64,-140,-96
7520,-220,-60,-292
7522,72,8,200
7534,-224,-100,640
7536,352,172,-3232
7538,80,380,-2768
7540,-216,136,196
7542,-96,-196,376
7544,328,36,-332
7556,188,72,436
7558,-196,-148,160
7560,-28,108,-640
7562,140,164,-356
7564,-152,-144,88
7566,-88,-96,244
7578,36,-76,-20
7580,40,-128,272
7582,-104,32,-52
7584,32,116,-204
7588,-8,-60,76
7590,-80,-32,220
7592,-84,120,104
7594,-60,148,-308
