T,X,Y,Z
22989,-96,56,68
22991,-32,-24,-28
22993,-36,-40,20
22995,-64,-12,68
23007,52,4,-116
23009,48,56,-44
23011,48,100,36
23013,24,-80,-48
23015,-60,-56,-84
23017,-12,-108,-196
23029,380,-156,1400
23031,-292,44,-500
23033,-88,0,236
23035,-40,48,4
23039,236,-92,8
23041,-400,84,-704
23043,724,236,12
23045,-240,-192,1084
23057,-384,252,-376
23059,300,88,-324
23061,-256,-52,180
23063,300,88,-436
23065,-116,80,-1032
23077,-284,-232,560
23079,188,16,-20
23081,-176,148,-476
23083,128,-64,-84
23085,112,-92,460
23087,-156,72,92
23099,-36,-184,380
23101,-92,-104,240
23103,164,112,-372
23105,-84,128,-384
23107,-116,8,136
23109,8,-148,216
23121,-16,-24,-288
23123,-92,-72,92
23125,20,52,-124
23127,-100,-36,-176
23129,-12,-36,-136
23131,-144,-136,1288
23135,12,12,1608
23147,-264,-88,-112
23149,196,-48,-536
23151,20,76,40
23153,-128,-20,72
23155,60,-12,284
23157,152,-108,100
23169,116,-16,-132
23171,-108,-8,16
23173,-84,60,64
23175,-24,24,144
23177,-76,-28,-272
23179,52,-88,-28
23191,40,16,-60
23193,32,60,-116
23195,56,-28,156
23197,-104,-36,144
23199,4,48,-92
23201,-44,100,-136
