T,X,Y,Z
39587,20,72,8
39589,-8,0,-8
39591,-28,68,-8
39593,52,36,-28
39595,40,-24,4
39607,208,-28,-100
39611,-232,-132,28
39613,72,-4,-324
39615,-128,44,204
39617,24,-112,340
39619,168,120,-864
39631,384,-208,2420
39633,4,-220,1716
39635,-216,196,-600
39637,-72,92,-1516
39639,-152,20,-264
39641,560,168,-36
39653,-4,184,-832
39655,-188,-148,420
39657,60,-172,604
39659,8,100,312
39661,236,72,-516
39663,72,152,-928
39675,112,-4,160
39677,-148,-128,276
39679,-60,-44,192
39681,152,112,-424
39683,84,100,-244
39685,4,36,-144
39697,-200,-88,-172
39699,-8,-84,268
39701,-56,-48,296
39703,8,100,-160
39707,-96,56,-52
39709,-160,4,392
39711,84,-92,336
39723,96,-80,-40
39725,-96,-100,1000
39727,172,-44,2048
39729,108,4,-920
39731,-520,140,-1108
39733,464,-164,208
39745,16,8,688
39747,68,96,-244
39749,-204,36,-216
39751,-60,104,-244
39753,224,32,428
39755,-156,-8,88
39767,16,12,136
39769,64,32,72
39771,8,16,284
39773,36,-156,-96
39775,-108,76,-192
39777,-32,-52,188
39779,-68,-40,368
39791,-16,20,-48
39793,96,96,-112
39795,96,88,-72
39797,48,40,116
39799,56,-60,148
