T,X,Y,Z
11678,60,-4,24
11680,4,68,60
11692,4,-16,84
11694,8,-56,76
11696,-20,-52,-72
11698,-76,0,-16
11700,80,-8,36
11702,4,0,56
11706,8,64,-12
11708,28,36,-24
11720,-1032,-428,1888
11722,512,-16,-560
11724,164,208,-160
11726,-652,-276,296
11728,536,-104,-520
11730,-168,284,-12
11742,400,296,168
11744,-272,-48,600
11746,-408,-216,-800
11748,628,132,-1592
11750,-32,208,1576
11762,-360,-104,-36
11764,-184,-316,780
11766,92,112,88
11768,-108,-36,364
11770,184,4,-784
11772,80,104,-864
11784,-152,-160,392
11786,-160,-84,516
11788,60,64,-152
11790,8,64,-576
11792,52,4,-316
11794,136,112,220
11806,-96,-216,-112
11810,92,108,-8
11812,152,84,-172
11814,-12,-68,-252
11816,-160,-16,172
11818,60,-8,356
11830,-24,-36,596
11832,60,52,624
11834,-60,120,-416
11836,-28,112,-256
11838,52,-88,120
11840,-80,-16,-72
11852,140,212,220
11854,388,44,1564
11856,-284,-232,988
11858,212,-32,-1300
11860,48,92,268
11862,20,76,468
11874,204,-68,416
11876,-20,148,-108
11878,-32,-24,-256
11880,-128,-180,128
11882,144,16,160
11884,112,156,80
11896,36,16,-152
11898,64,-52,320
11900,60,-16,292
