T,X,Y,Z
50656,52,-8,8
50658,-56,60,148
50670,80,48,88
50672,4,20,68
50674,28,12,68
50676,24,-28,-72
50678,-36,40,-32
50680,-32,56,8
50682,-36,8,-4
50686,88,44,-16
50688,672,92,-768
50690,-492,-160,900
50692,152,216,-428
50704,-132,-160,-4
50706,40,180,32
50708,-36,-8,-52
50710,104,-60,-344
50712,108,80,488
50714,-240,-60,-216
50716,100,144,-364
50718,196,-96,656
50730,116,-88,284
50732,0,-40,-940
50734,-360,104,740
50736,-328,-68,788
50738,80,12,-336
50740,280,112,-92
50742,20,-100,-12
50744,-88,-280,-204
50756,-108,-132,-220
50758,-48,28,-128
50760,28,-44,-152
50762,32,132,28
50764,32,-80,204
50766,-84,-176,184
50768,-100,60,-92
50772,-36,92,104
50774,-20,-28,-104
50776,-72,56,36
50788,-88,88,32
50790,24,40,-116
50792,-112,4,16
50794,32,92,-212
50796,-220,-36,788
50798,204,160,-348
50800,-20,68,-256
50802,504,-348,452
50814,264,-84,340
50816,204,-36,-708
50818,84,32,552
50820,-48,116,-12
50822,-64,-168,-188
50824,92,-8,-28
50826,16,44,376
50828,28,12,-180
50830,-60,-44,-280
50842,-212,-20,112
50844,68,-40,-96
50846,-68,-8,-148
50848,-64,112,-216
