T,X,Y,Z
41486,-56,20,-68
41488,-4,20,40
41490,-16,-8,-20
41492,-72,-4,92
41494,-40,-4,64
41496,-44,-48,-48
41498,68,36,-72
41510,272,-48,-232
41512,-280,60,284
41514,324,84,352
41518,88,4,-516
41520,-80,-12,872
41522,-136,240,-144
41524,100,-40,-348
41526,368,164,420
41528,192,-196,-456
41530,-896,-144,1536
41542,16,-44,-1464
41544,-680,0,1472
41546,-112,36,848
41548,200,0,-736
41550,460,152,164
41552,72,-60,464
41554,-112,-380,-680
41556,-68,-8,-72
41568,-236,-56,52
41570,196,312,-148
41572,136,212,8
41574,68,88,348
41576,32,-80,360
41578,-40,-56,-160
41580,-4,152,-524
41582,-8,-16,-208
41594,-88,212,-108
41596,-96,140,224
41598,0,8,-112
41600,-32,24,-68
41604,-40,28,-112
41606,40,44,-500
41608,-180,-4,436
41610,-248,-60,1204
41612,828,20,-1496
41614,-108,-104,1220
41626,224,-136,-400
41628,180,-68,-136
41630,196,144,328
41632,-212,-96,200
41634,128,-116,-484
41636,144,176,444
41638,60,200,152
41640,-120,-164,-132
41652,-112,0,92
41654,-32,-20,444
41656,-40,-56,60
41658,48,96,-380
41660,-48,28,-104
41662,-32,-112,48
41664,-28,-108,28
41666,-44,-32,100
41678,-184,-128,-4
