T,X,Y,Z
23629,-4,44,-156
23631,-44,-52,-76
23633,-52,-32,-128
23635,-4,8,68
23637,64,36,0
23639,16,20,100
23641,-132,28,-24
23643,-16,92,-48
23655,24,68,-8
23657,-24,-16,92
23659,800,144,-940
23661,-712,-268,768
23663,348,216,-460
23665,-248,-60,436
23667,96,-64,-72
23669,-100,108,16
23681,52,64,-96
23683,164,52,40
23685,-116,-116,-40
23687,-120,-124,-300
23691,-60,64,-28
23693,280,76,-1128
23695,-24,-244,816
23697,-336,12,8
23699,-336,-12,-112
23701,180,-20,-20
23713,-92,56,332
23715,328,48,-636
23717,204,-12,312
23719,-24,-100,72
23721,-128,-120,-272
23723,-104,-44,8
23725,40,164,12
23727,4,-12,280
23739,-4,180,160
23741,-112,-136,324
23743,44,-28,-144
23745,-112,-40,-132
23747,-84,44,-32
23749,-40,96,-60
23751,140,-28,-44
23753,24,-16,204
23765,220,-396,0
23767,304,76,-16
23769,-436,148,688
23771,304,-140,-940
23773,-256,-152,-16
23777,-96,-20,608
23779,208,-112,-800
23781,-12,-120,92
23783,-108,124,212
23795,152,60,-520
23797,-144,-76,-48
23799,-12,108,232
23801,-40,-104,244
23803,72,64,-60
23805,-96,8,428
23807,-120,-48,4
23809,4,44,-100
23811,-104,84,-252
