T,X,Y,Z
45122,92,12,-40
45126,36,-32,116
45128,40,72,-72
45130,48,28,16
45132,92,-44,-32
45134,16,-52,100
45136,-20,32,48
45138,56,24,8
45150,228,84,-124
45152,12,-20,356
45154,60,-100,-892
45156,-164,-8,156
45158,76,112,492
45160,-216,-92,-312
45162,212,68,-120
45164,36,-20,184
45176,20,-36,316
45178,-336,28,-308
45180,256,304,-160
45182,40,28,8
45184,76,-60,-860
45186,-360,64,108
45188,-148,76,920
45190,-72,-12,-320
45202,-84,104,64
45204,172,8,80
45206,52,-72,-48
45208,-52,-52,-256
45210,-172,-52,12
45214,48,152,-148
45216,52,72,208
45218,12,-4,308
45220,44,-76,-40
45222,20,12,-408
45224,-64,72,-124
45236,-32,48,-64
45238,12,84,-152
45240,-76,8,372
45242,128,-20,-196
45244,-128,-28,224
45246,88,32,-164
45248,-32,-20,-220
45250,88,-104,-396
45262,-288,-24,296
45264,508,-56,-996
45266,-396,-48,560
45268,64,176,-16
45270,-84,-196,344
45272,220,48,-724
45274,-16,160,-12
45276,-80,-96,-8
45288,-88,-16,-340
45290,-136,-8,-40
45292,0,144,88
45294,168,76,28
45296,24,76,148
45298,-124,8,320
45302,32,44,-304
45304,60,20,0
45306,-60,-144,-16
