T,X,Y,Z
11670,28,68,-124
11672,-112,164,20
11674,84,-20,64
11676,-8,-24,-12
11678,44,-64,20
11680,72,-32,88
11682,-20,144,-36
11684,-32,24,44
11696,-56,4,-52
11698,-4,124,-16
11700,500,216,-1008
11702,-68,-424,320
11704,-208,204,-84
11706,-4,16,172
11708,44,-144,-244
11712,412,76,236
11714,-232,-84,-68
11716,-88,-168,-568
11728,-540,-268,2332
11730,-416,240,-104
11732,188,64,36
11734,-180,-8,-32
11736,432,304,380
11738,200,-60,-152
11740,172,-272,-1240
11752,-188,-240,-276
11754,32,-184,-652
11756,64,120,316
11758,-56,168,348
11760,60,-192,536
11762,172,-56,-88
11764,-180,-60,-264
11766,-184,-160,-28
11778,12,4,-444
11780,60,-24,-296
11782,96,-68,-36
11784,-36,-96,-96
11786,-40,20,128
11788,-140,-60,344
11790,-28,104,-196
11792,-68,48,-64
11796,56,-136,-36
11798,40,-36,80
11810,-40,340,-1340
11812,-40,-212,-444
11814,36,116,-424
11816,-244,208,-552
11818,220,-152,-296
11820,-124,-124,112
11822,-88,88,-96
11824,0,-52,676
11836,-8,184,180
11838,40,56,256
11840,28,-32,372
11842,-36,-136,-224
11844,-232,-20,-228
11846,-36,20,92
11848,32,-32,0
11850,32,92,72
11852,-156,60,444
