T,X,Y,Z
49457,-16,-84,-16
49459,-64,-40,56
49461,-36,52,-152
49463,-52,56,-96
49465,32,44,136
49467,-72,44,24
49469,44,-92,32
49471,-8,28,40
49483,-368,-76,296
49485,256,12,-392
49487,-352,-80,656
49489,192,88,-112
49491,336,-140,-164
49493,-148,-92,-832
49495,188,60,840
49497,-352,4,28
49509,88,596,168
49511,168,0,32
49513,328,-300,-1024
49515,-612,64,-608
49519,20,16,-296
49521,404,-20,-1064
49523,28,364,596
49525,-196,-224,312
49527,-104,-472,-688
49529,40,400,620
49541,-64,-180,96
49543,192,124,-192
49545,-84,92,560
49547,180,-308,444
49549,28,-200,132
49551,92,192,-348
49553,92,192,-324
49555,172,-92,-8
49567,168,72,-184
49569,-96,0,316
49571,-228,-68,208
49573,-192,128,-144
49575,-180,12,64
49577,-164,144,92
49579,88,128,-596
49581,-8,-176,-216
49593,304,-220,-304
49595,56,-32,-124
49597,-204,64,-344
49599,-32,56,1440
49603,388,-64,-512
49605,-100,-76,704
49607,196,-204,-216
49609,112,124,-336
49611,192,232,132
49623,16,128,204
49625,120,68,-140
49627,-32,84,424
49629,0,-32,208
49631,-104,84,-256
49633,64,100,-372
49635,-20,-28,-60
49637,-16,36,140
49639,-104,-96,-104
