T,X,Y,Z
9045,-16,-24,16
9057,-36,-24,-12
9059,0,120,-124
9061,-52,72,-4
9063,-44,12,-36
9065,-12,96,-52
9067,-20,92,12
9069,56,124,72
9081,-24,12,-40
9083,64,-16,-44
9085,968,324,-804
9087,-424,-304,376
9089,-816,-344,740
9091,-380,0,-1196
9103,2224,16,88
9105,320,-52,-476
9107,-1060,308,-1216
9109,-1420,408,-740
9111,-324,108,256
9113,924,-636,1424
9117,528,384,-636
9129,-152,512,-1108
9131,-312,96,-720
9133,68,-252,720
9135,164,-164,792
9137,-96,60,804
9139,-88,224,-392
9151,228,204,-504
9153,680,216,4
9155,-108,-144,-8
9157,-496,-164,512
9159,-468,20,100
9161,0,252,-396
9173,1548,460,-2244
9175,172,-468,-5956
9177,-1240,-1084,1920
9179,-500,472,1532
9181,-96,844,936
9183,720,252,3192
9195,380,164,-1828
9197,40,184,-608
9199,24,228,1068
9201,-124,52,732
9203,-320,-128,428
9205,128,-60,-164
9217,184,92,568
9219,440,88,-68
9221,296,144,224
9225,-172,156,272
9227,-56,140,120
9229,120,-8,-652
9231,104,48,-364
9233,12,-28,112
9245,-316,40,-4
9247,-188,20,-160
9249,-76,-24,184
9251,260,200,52
9253,216,120,164
9255,36,-88,56
9267,-20,-20,248
