T,X,Y,Z
42312,24,44,72
42314,16,-32,-8
42326,76,8,112
42328,44,80,-36
42330,-52,-24,80
42332,40,-84,40
42334,52,88,0
42336,52,24,-52
42340,-12,-32,-24
42342,-60,4,80
42354,-1524,-736,2540
42356,-452,292,-456
42358,920,436,-276
42360,408,-92,-2324
42362,-844,28,268
42364,-1400,212,1168
42376,-1356,648,-1336
42378,-288,-308,768
42380,1212,-724,428
42382,1376,-340,-236
42384,-188,432,-648
42396,-336,368,-820
42398,-260,-96,-544
42400,316,-408,872
42402,356,-12,256
42404,-312,20,-156
42406,-316,128,456
42418,448,92,-40
42420,388,-68,424
42422,-12,-120,364
42424,-444,-132,732
42426,-212,-20,-84
42428,108,152,-1164
42432,-116,-204,204
42444,948,736,-828
42446,-696,300,3952
42448,-744,-248,1716
42450,88,140,-3340
42452,1148,416,996
42464,352,-52,-924
42466,84,-112,880
42468,-148,168,-104
42470,-8,4,460
42472,160,-40,-332
42474,176,168,-512
42486,160,36,-116
42488,40,-144,388
42490,-144,28,60
42492,-196,28,-680
42494,132,-52,-316
42496,284,16,96
42508,84,-16,28
42510,-244,56,-400
42512,-256,-24,-256
42514,-44,40,-4
42516,152,44,-336
42518,216,-28,-8
42530,-12,-24,-308
42532,-104,-56,364
42534,-56,32,-212
