T,X,Y,Z
15716,40,4,-4
15718,72,36,112
15730,52,88,-56
15732,0,12,-148
15734,88,56,64
15736,52,48,36
15738,-72,108,-16
15740,60,-68,-44
15742,96,48,-68
15754,28,-48,-176
15756,768,156,-840
15758,-84,148,1188
15760,-1324,-536,1232
15762,180,-224,-892
15774,920,-392,172
15776,-1036,-40,-376
15778,-2088,336,-2856
15780,-1264,408,-696
15782,832,-88,1360
15784,1544,-464,-292
15796,552,100,184
15798,-336,608,-1260
15800,-804,232,-644
15804,344,-248,304
15806,204,-120,764
15808,-60,96,464
15820,-208,68,-260
15822,424,204,-208
15824,496,-44,12
15826,-80,-120,892
15828,-504,-140,484
15830,-172,120,-280
15842,364,280,-272
15844,172,112,-288
15846,0,-80,-152
15848,-376,-80,0
15850,-340,36,-52
15852,-32,136,-208
15864,-184,276,2812
15866,156,-116,-2620
15868,232,-292,-1104
15870,280,-356,-524
15872,-44,-276,-1268
15884,-148,56,-348
15886,192,8,-1448
15888,32,-76,1252
15890,64,140,1332
15892,260,132,-372
15894,72,-48,104
15898,36,112,-836
15910,152,52,-12
15912,68,72,72
15914,-228,32,-212
15916,-208,32,-216
15918,140,68,452
15920,168,92,-356
15932,148,44,-332
15934,-112,4,-60
15936,-8,44,396
15938,92,0,180
