T,X,Y,Z
32973,-24,56,-8
32975,-32,128,32
32987,24,-8,92
32989,-4,-56,196
32991,-12,-68,12
32993,-104,60,-28
32995,-48,-92,-28
32997,-36,48,124
33009,-988,-448,-24
33011,-1268,-284,-92
33013,-892,348,-1468
33015,1508,440,984
33017,2388,272,828
33019,1128,-120,-2024
33031,1976,100,-300
33033,372,468,348
33035,-1192,148,1972
33037,-132,256,-1300
33041,760,124,-396
33043,776,60,-360
33055,-136,76,0
33057,56,164,116
33059,16,-220,184
33061,-380,-104,0
33063,196,208,-240
33065,40,148,-12
33077,-420,100,-16
33079,-284,32,232
33081,-444,-168,324
33083,32,-52,-304
33085,312,112,-12
33087,-292,-36,-384
33099,-364,196,-408
33101,-356,60,-280
33103,-244,-428,748
33105,340,-568,-136
33107,216,40,-1696
33109,240,432,-1056
33121,212,20,-680
33123,436,-200,256
33125,-200,-156,756
33127,-332,96,-1148
33129,-52,184,508
33141,-52,88,-156
33145,-72,-76,184
33147,12,-4,132
33149,124,-52,-64
33151,104,-76,-152
33153,44,-88,52
33165,-28,72,0
33167,-28,24,-108
33169,-4,36,-92
33171,-12,-68,88
33173,92,-52,88
33175,96,-16,-100
33177,-20,-24,-4
33189,260,120,208
33191,0,32,36
33193,12,116,44
33195,-176,16,56
