T,X,Y,Z
6224,104,32,192
6226,-64,44,-128
6238,-60,48,4
6240,-100,60,72
6242,-8,56,-40
6244,-48,12,-56
6246,-136,-184,-56
6248,28,-92,4
6250,44,-92,68
6262,84,-24,224
6264,72,484,-584
6266,-840,-300,1160
6268,68,-356,-1756
6270,764,-196,292
6272,-2832,308,-4072
6284,-2304,184,-1440
6286,-2792,1240,-1520
6288,-1128,324,972
6290,2284,-260,316
6292,2800,-736,504
6304,192,-232,-380
6308,16,648,-596
6310,304,-76,276
6312,464,-432,1320
6314,476,-164,932
6316,-420,32,-508
6328,1092,296,-1156
6330,660,136,-744
6332,-168,224,812
6334,-772,-44,756
6336,-548,-4,-360
6338,-476,-188,216
6350,-176,444,-3956
6352,1528,476,2860
6354,192,-720,-1908
6356,104,-608,192
6358,196,304,-1344
6360,-328,132,900
6372,164,444,-560
6374,292,76,708
6376,284,-76,120
6378,292,-40,1120
6380,-152,140,-208
6382,-260,-12,956
6394,-240,124,-100
6396,-136,88,356
6398,124,-60,-248
6402,48,-256,596
6404,-148,-140,-196
6406,48,144,-84
6408,-152,-44,4
6420,-36,-44,144
6422,104,16,40
6424,184,-4,68
6426,100,112,-120
6428,-144,88,-392
6430,-56,64,28
6432,-52,104,176
6444,-132,-28,-296
6446,64,4,436
