T,X,Y,Z
21493,116,28,-156
21495,120,-88,20
21497,52,0,8
21499,12,52,52
21511,4,0,-40
21513,-28,12,16
21515,-36,60,28
21517,-48,128,0
21519,-56,-60,-48
21521,520,140,184
21533,1924,-108,948
21535,460,404,-2676
21537,-4812,-656,1016
21539,-3892,-288,-1352
21541,664,360,244
21553,364,188,-884
21557,1224,-64,-1960
21559,732,36,204
21561,-68,48,-116
21563,-464,-300,872
21565,-288,-464,364
21577,376,-60,392
21579,344,320,-48
21581,-160,320,-860
21583,-244,192,608
21585,-448,-144,484
21587,-216,-188,-36
21599,-240,-96,256
21601,172,36,144
21603,-80,112,-884
21605,-800,84,-352
21607,-1156,88,220
21619,-1456,-16,-1300
21621,-912,-104,-288
21623,652,120,-940
21625,1096,-148,1544
21627,568,8,-848
21629,100,212,-420
21641,-428,84,-808
21643,-312,-252,196
21645,-112,-36,428
21649,388,196,284
21651,-60,16,-220
21653,-264,-84,104
21655,-280,-60,264
21667,-140,-108,452
21669,184,24,24
21671,120,44,-340
21673,124,-48,-188
21675,-40,20,64
21677,-156,-52,-16
21689,-268,-92,-184
21691,-60,112,-216
21693,144,216,-136
21695,284,184,-148
21697,156,60,36
21699,-84,-68,132
21711,-104,-68,-16
21713,-72,36,192
21715,68,-12,180
