T,X,Y,Z
48947,52,-56,-48
48949,76,24,184
48961,12,-40,88
48963,80,28,8
48965,16,32,-64
48967,88,-24,8
48969,8,20,12
48973,-24,-28,-60
48975,-32,-8,40
48977,192,132,-344
48989,216,16,708
48991,920,12,-12
48993,344,512,-2188
48995,-2920,-612,2352
48997,-928,128,-1452
48999,1700,528,464
49011,448,340,-1680
49013,536,160,1256
49015,16,-56,-336
49017,-172,28,-148
49019,8,120,-220
49031,-116,36,48
49033,144,-68,380
49035,236,188,112
49037,184,224,408
49039,-416,48,-444
49041,-352,-24,36
49053,452,280,424
49055,968,-256,912
49057,680,-148,-260
49059,-148,-120,-272
49061,-920,64,-436
49063,-1420,-12,-568
49067,1360,36,940
49079,192,-92,1460
49081,676,-8,-748
49083,584,44,-92
49085,88,-144,624
49087,-364,-48,524
49089,-112,292,-420
49101,-192,80,-220
49103,284,44,256
49105,228,-68,72
49107,120,-16,12
49109,-40,60,-8
49111,-168,0,4
49123,-124,-84,224
49125,-120,-60,168
49127,200,-52,272
49129,212,-24,-360
49131,-28,-100,-340
49133,-92,-80,204
49145,-184,4,-76
49147,-84,64,-168
49149,-24,-4,-28
49151,168,144,20
49153,108,100,-12
49155,-44,-4,-12
49167,4,48,84
49169,-96,8,68
