T,X,Y,Z
20559,72,-12,32
20561,-16,52,-48
20563,64,104,88
20565,-64,-8,-44
20577,-36,116,116
20579,-32,-24,-64
20581,-28,8,68
20583,-32,0,216
20585,80,44,-28
20587,4,-36,-52
20599,-56,4,-732
20601,-32,12,-1084
20603,-196,-312,840
20605,28,-216,1036
20607,476,284,-1376
20609,368,92,700
20621,-76,80,-740
20623,156,-372,540
20625,1092,12,1156
20627,1472,432,-320
20629,448,96,416
20631,-172,-76,1732
20643,-148,-420,712
20647,-296,-144,-660
20649,-52,-32,180
20651,-264,-208,492
20653,576,124,-136
20655,604,60,1328
20667,388,-72,52
20669,156,36,104
20671,-96,108,-548
20673,-144,68,24
20675,-304,36,268
20677,-176,-8,140
20689,-868,-104,48
20691,-736,-72,-608
20693,616,200,424
20695,1736,144,832
20697,1160,-240,564
20699,-208,-384,-288
20711,144,-476,712
20713,-228,292,-812
20715,-308,136,-600
20717,292,-204,2124
20719,344,-124,-1276
20731,164,-96,148
20733,24,-68,-200
20735,-208,220,-108
20737,-152,224,-236
20741,84,-200,208
20743,-16,-124,-172
20745,-60,-72,232
20757,-76,-16,144
20759,-40,-12,-24
20761,-168,-128,-216
20763,48,-200,300
20765,120,-108,48
20767,100,-176,20
20779,188,100,-152
20781,188,64,292
