T,X,Y,Z
4825,96,-104,176
4827,80,108,24
4829,4,16,180
4841,-32,20,100
4843,12,-36,88
4845,-24,-8,24
4847,-108,4,24
4849,0,4,-52
4851,32,32,-8
4853,-32,-56,-100
4865,-568,-332,-1148
4869,-16,48,1588
4871,1436,104,-232
4873,1576,-180,1404
4875,-2880,-456,-2708
4877,-3416,-256,2192
4889,-848,36,100
4891,-708,12,412
4893,-60,-156,224
4895,464,-36,-816
4897,964,32,120
4899,540,116,-476
4911,-624,100,136
4913,-400,104,-88
4915,452,-168,-104
4917,716,-48,-964
4919,184,88,304
4921,-228,104,-308
4933,-2292,-460,-500
4935,-1240,260,-1036
4937,812,360,-72
4939,1020,-432,1508
4941,744,-212,148
4943,16,304,-304
4955,12,-72,-7488
4957,-1400,-232,3440
4959,-1316,308,-2188
4963,616,-632,1288
4965,708,-288,-44
4967,732,664,-1788
4979,-56,296,-500
4981,-28,260,-448
4983,-300,-180,764
4985,112,-148,388
4987,452,172,96
4989,188,328,-508
5001,128,164,-212
5003,-172,-124,40
5005,-260,-184,592
5007,-108,-228,-152
5009,148,0,72
5011,184,60,4
5023,292,60,-152
5025,140,8,56
5027,-280,-132,20
5029,-200,-32,172
5031,128,76,68
5033,316,140,-224
5035,356,212,-52
5047,196,52,-176
