T,X,Y,Z
12370,4,16,28
12372,44,-32,52
12384,48,-108,-104
12386,-52,-8,-80
12388,0,88,-4
12390,76,-52,-68
12392,-72,-52,-16
12394,0,8,-40
12396,-56,-8,-216
12408,-288,-116,-124
12410,160,0,-540
12412,120,100,-20
12414,-356,-116,112
12416,108,-8,-208
12418,96,68,104
12422,184,104,-508
12434,260,208,-3000
12436,-392,-180,2192
12438,396,-92,804
12440,-188,204,104
12442,-172,-32,-732
12454,-156,-80,868
12456,260,-24,172
12458,180,36,-164
12460,-276,-12,-208
12462,128,48,356
12464,116,-4,272
12476,160,92,-332
12478,-20,32,-80
12480,-24,60,136
12482,116,20,392
12484,-156,-80,212
12486,20,-24,-144
12498,160,144,140
12500,240,48,-180
12502,-68,-52,-56
12504,-16,-88,-300
12506,28,76,-116
12508,-40,-16,-112
12520,84,84,-292
12522,56,92,-416
12524,-72,-4,548
12528,-152,-32,76
12530,96,-48,-116
12532,128,20,24
12534,72,-32,-348
12536,-176,-188,296
12548,280,56,1324
12550,176,16,616
12552,-184,-64,68
12554,140,-68,-740
12556,24,152,600
12558,-16,8,384
12570,84,-44,88
12572,-72,4,-184
12574,36,-16,92
12576,-44,56,-428
12578,36,116,-204
12580,172,40,232
12592,-56,-48,388
