T,X,Y,Z
6259,56,-76,32
6263,92,52,-32
6265,68,-8,-16
6267,20,0,-8
6269,0,-36,-48
6281,-76,-20,44
6283,-32,-16,68
6285,-12,60,-140
6287,-12,24,-4
6289,8,44,-16
6291,28,32,-520
6293,104,120,344
6305,-76,-72,600
6307,-200,-92,-548
6309,160,68,-552
6311,-60,-4,208
6313,156,-92,372
6315,64,92,-280
6327,392,-36,1568
6329,-100,-60,2220
6331,-56,-44,56
6333,-24,8,-1172
6335,48,0,-692
6337,284,112,260
6349,-52,140,-544
6351,-144,-48,240
6353,12,8,384
6355,184,72,-152
6357,252,132,-324
6359,-32,180,-348
6371,96,12,468
6375,-44,-8,0
6377,24,52,-496
6379,-44,-20,-268
6381,12,0,-108
6383,-164,-168,64
6385,36,-80,364
6397,-76,20,44
6399,128,36,-56
6401,28,28,-324
6403,-160,-88,8
6405,-28,-160,916
6407,236,4,596
6409,244,280,-2184
6421,240,12,-764
6423,0,156,344
6425,-28,20,-48
6427,84,-40,116
6429,-212,-16,20
6431,128,-4,-196
6443,-44,-32,-244
6445,104,148,-268
6447,4,56,-192
6449,-132,-76,232
6451,76,-68,328
6453,56,92,-124
6455,32,116,-544
6467,188,92,-180
6469,-28,16,-164
6471,-104,-108,128
