T,X,Y,Z
12675,76,28,164
12677,48,-60,8
12679,-16,-60,8
12681,-60,4,-8
12683,128,36,-52
12695,112,8,-76
12697,-60,-4,-252
12699,-36,84,52
12701,-80,64,80
12703,324,252,28
12705,-80,92,-900
12717,-1836,140,-36
12719,-1504,312,400
12721,-220,-64,1880
12723,2252,-276,1544
12725,2756,-36,-312
12727,-76,-176,-348
12739,132,12,-68
12741,-220,448,12
12743,-544,12,188
12745,-204,-308,468
12747,520,-260,708
12759,172,40,236
12763,356,48,-312
12765,132,-32,-192
12767,-272,-160,416
12769,-200,-24,-340
12771,184,192,-280
12783,12,100,-492
12785,-44,108,-176
12787,276,-8,-92
12789,116,-212,748
12791,1732,1432,3084
12793,-864,-248,2708
12805,936,192,5280
12807,68,464,-3020
12809,-500,-224,-2476
12811,436,-324,3804
12813,40,120,-2360
12825,-64,12,-1200
12827,40,56,392
12829,80,36,496
12831,292,196,-1024
12833,92,0,776
12835,-188,-316,308
12847,-32,36,700
12849,-116,-16,-372
12851,180,148,124
12853,164,148,-272
12860,124,32,472
12862,92,16,-296
12864,220,16,-620
12866,-24,28,600
12868,-168,-64,104
12880,32,-8,376
12882,-44,56,-400
12884,96,76,84
12886,152,108,-44
12888,-44,-60,-376
12890,-68,-20,416
