T,X,Y,Z
45297,140,8,-40
45299,56,-60,56
45301,-28,-60,-104
45313,-12,96,48
45315,28,28,120
45317,-24,96,-16
45319,52,12,-16
45321,28,4,12
45323,-40,-4,80
45325,40,0,112
45337,-88,-96,-620
45339,-464,-228,168
45341,-488,24,-1044
45343,80,96,732
45345,364,-264,88
45347,460,-36,-448
45359,268,296,-1648
45361,52,-476,2080
45363,1736,-104,436
45365,440,56,-1112
45367,-1016,32,340
45369,-520,400,32
45381,-32,-100,-224
45383,56,-92,824
45385,296,-68,-60
45387,-28,-12,-552
45389,-184,224,-44
45393,4,-68,348
45395,60,-68,368
45407,-60,-72,-772
45409,-92,8,-136
45411,-132,24,-236
45413,104,8,-136
45415,188,-116,-16
45417,-64,-144,408
45429,12,-12,-36
45431,116,64,28
45433,-76,72,-84
45435,-104,0,-84
45437,-56,32,40
45439,-64,-48,272
45451,328,168,2544
45453,-732,320,-4812
45455,60,-84,-796
45457,876,-428,3360
45459,40,-44,-2700
45461,-368,-8,-1208
45473,-68,68,-592
45475,-48,-104,440
45477,-104,-44,-20
45479,136,204,-48
45481,48,20,-296
45483,4,-20,-288
45495,-28,-124,264
45502,48,72,44
45504,56,36,52
45506,116,-32,-368
45508,64,-52,348
45510,-72,-72,256
45522,-20,-12,84
