T,X,Y,Z
54258,-52,140,-240
54270,-20,28,72
54272,-36,12,-28
54274,-88,28,-4
54276,72,56,-132
54278,12,32,-20
54280,0,-16,-92
54292,884,84,-92
54294,824,-80,344
54296,272,-40,248
54298,616,704,-2980
54300,-2748,-508,1448
54302,-804,292,-2648
54314,-584,132,-884
54316,236,-144,1016
54318,824,104,28
54320,36,-92,-180
54322,-332,292,-588
54324,-340,132,172
54336,-172,-48,-408
54338,-124,-188,456
54340,48,-112,284
54344,-236,-12,152
54346,264,32,76
54348,332,-52,28
54350,-104,-188,212
54362,-232,-48,408
54364,-228,104,28
54366,-72,152,-372
54368,68,64,-796
54370,144,-56,32
54372,-84,-68,484
54384,-344,-32,136
54386,-528,-112,-2320
54388,28,20,692
54390,376,252,700
54392,-304,40,-868
54394,-92,-68,-360
54406,-116,-24,-432
54408,-40,-40,612
54410,56,124,-436
54412,128,12,-104
54414,184,-48,632
54426,76,-48,152
54428,-12,-136,152
54430,-12,24,224
54432,140,92,76
54434,268,164,-216
54436,28,24,-56
54440,-264,-28,-188
54442,-188,80,-88
54454,-8,76,-208
54456,92,92,-384
54458,-4,-68,-204
54460,-40,-8,184
54462,-16,-104,240
54464,84,-16,-96
54476,-20,68,-180
54478,96,16,-60
54480,236,68,132
