T,X,Y,Z
18978,-92,84,-36
18980,-60,32,116
18982,-60,-20,-76
18994,56,12,-28
18996,-52,0,-72
18998,64,-24,-24
19000,-100,-36,-120
19002,16,-32,-172
19006,-24,4,-32
19008,-28,-80,92
19020,-200,-132,720
19022,408,-12,740
19024,-276,80,-152
19026,-120,172,-1080
19028,412,76,644
19030,-192,-216,608
19042,-12,36,-1244
19044,-148,40,-64
19046,100,-220,440
19048,312,168,-12
19050,-256,40,-372
19052,-40,40,-508
19064,-80,-140,-440
19066,168,264,-64
19068,76,28,-32
19070,-24,-96,212
19072,-20,-24,80
19074,140,280,-124
19086,-72,-40,268
19088,196,-28,-184
19090,32,84,-372
19092,-84,-80,-332
19094,-88,-8,64
19096,-120,36,128
19108,24,-32,-224
19112,32,-24,-160
19114,8,-16,-632
19116,-112,-28,224
19118,136,-128,1184
19120,192,-228,2620
19132,72,-80,-312
19134,320,-20,76
19136,-276,-40,-172
19138,52,168,-532
19140,-24,0,620
19142,-212,-256,636
19154,32,-28,-216
19156,8,-36,128
19158,68,-152,160
19160,-88,44,92
19162,80,-28,-64
19164,-96,-200,232
19176,60,80,-180
19178,-196,92,-220
19180,-68,-112,212
19182,8,-48,144
19184,-92,116,-248
19186,-32,40,-96
19198,72,48,76
19200,8,56,-120
